Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
1,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,22-127,2000,29,2.17,1.28,1.55,0.62,0,1.24,1.93,64.3,0.69,13.3,3.59,26.9,7.76,4.31,1.24,2.79,0.72,0,2.07,1.62,3.79,2.24,0,Matches
2,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,34-225,1987,31.1,1.8,1.32,1.25,0.51,0.03,0.35,0.8,44,0.45,13.8,4.82,35,7.78,5.11,0.87,1.9,0.77,0.06,1.13,3.31,5.11,3.18,0,Matches
3,Salis Abdul Samed,gh GHA,MF,Clermont Foot,fr Ligue 1,22-046,2000,27.4,2.01,1.24,0.91,0.91,0.18,0.69,2.15,32.2,1.46,23.4,6.53,27.9,7.19,12.3,3.94,0.99,0.04,0,0.95,1.86,3.87,0.55,0,Matches
4,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,29-099,1993,30.9,3.62,2.27,1.55,1.75,0.32,1.78,4.82,36.9,3.04,27.8,7.96,28.7,9.39,15.1,3.3,1.65,0.1,0,1.55,2.65,6.28,0.36,0,Matches
5,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,22-029,2000,0.5,0,0,0,0,0,0,2,0,2,28,2,7.1,0,22,6,2,0,0,2,0,0,0,0,Matches
6,Dickson Abiama,ng NGA,FW,Greuther Fürth,de Bundesliga,23-189,1998,8.1,1.73,0.86,0.37,0.86,0.49,0.25,1.36,18.2,1.11,23.5,4.81,20.5,2.59,10,10.9,1.23,0.37,0,0.86,0.99,2.72,0.86,0,Matches
7,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,19-044,2003,1.1,0,0,0,0,0,0,0.91,0,0.91,23.6,3.64,15.4,3.64,12.7,7.27,1.82,0,0,1.82,0.91,0.91,0.91,0,Matches
8,Tammy Abraham,eng ENG,FW,Roma,it Serie A,24-221,1997,32.3,1.02,0.68,0.31,0.46,0.25,0.31,0.71,43.5,0.4,13.9,4.21,30.3,1.39,5.85,6.66,1.02,0.34,0,0.68,0.43,1.46,0.93,0,Matches
9,Luis Abram,pe PER,DF,Granada,es La Liga,26-073,1996,6.2,1.13,0.97,0.81,0.16,0.16,0.48,0.65,75,0.16,5.65,2.1,37.1,2.26,3.23,0.16,2.1,0.81,0.32,1.29,1.77,2.9,6.29,0.16,Matches
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,34-090,1988,26.2,0.8,0.38,0.61,0.19,0,0.23,0.65,35.3,0.42,5.92,1.76,29.7,3.17,2.33,0.42,1.83,1.15,0,0.69,1.79,2.6,4.27,0.04,Matches
11,Ragnar Ache,de GER,MFFW,Eint Frankfurt,de Bundesliga,23-287,1998,2.9,0.69,0.69,0,0.34,0.34,0.69,1.03,66.7,0.34,23.8,6.9,29,1.72,10,12.1,1.03,0,0,1.03,0,0.69,0.34,0,Matches
12,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,30-195,1991,22.1,2.35,1.58,1.31,0.59,0.45,0.86,1.45,59.4,0.59,11.8,3.94,33.5,5.29,4.62,1.86,1.36,0.14,0,1.22,1.18,3.53,1.31,0,Matches
13,Che Adams,sct SCO,FW,Southampton,eng Premier League,25-302,1996,22.2,0.72,0.41,0.18,0.27,0.27,0.09,0.68,13.3,0.59,14.8,3.96,26.7,1.76,5.95,7.12,1.13,0.18,0,0.95,0.45,1.17,0.72,0,Matches
14,Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,23-086,1999,14.8,1.76,1.08,0.41,1.15,0.2,0.54,1.89,28.6,1.35,21.6,6.82,31.6,5.95,13.2,2.5,2.09,0.07,0,2.03,1.55,3.31,1.35,0.07,Matches
15,Sargis Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,28-353,1993,3.7,3.51,2.16,2.16,1.08,0.27,1.35,3.51,38.5,2.16,21.9,7.3,33.3,4.59,11.1,6.22,1.35,0,0,1.35,0.81,4.32,0.54,0,Matches
16,Martin Adeline,fr FRA,MFFW,Reims,fr Ligue 1,18-160,2003,3.9,3.59,3.08,2.05,1.28,0.26,1.28,3.85,33.3,2.56,26.2,7.18,27.5,9.49,11.3,5.38,1.03,0,0,1.03,3.59,7.18,1.54,0,Matches
17,Amine Adli,fr FRA,FWMF,Leverkusen,de Bundesliga,22-001,2000,14,2.71,1.79,1,1.29,0.43,1.21,2.07,58.6,0.86,21.4,6.64,31,4.5,8.79,8.14,2.5,0.29,0,2.21,1.21,3.93,0.57,0,Matches
18,Yacine Adli,fr FRA,MFFW,Bordeaux,fr Ligue 1,21-286,2000,25.1,1.91,1.35,1.04,0.68,0.2,0.6,2.67,22.4,2.07,24.9,7.25,29.1,6.61,12.7,5.58,1.63,0.12,0,1.51,2.15,4.06,0.6,0.04,Matches
19,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,25-125,1997,3.2,3.13,1.25,1.25,1.25,0.63,1.25,2.5,50,1.25,25.6,5.63,22,11.6,10.6,3.44,1.25,0,0,1.25,0.63,3.75,0.94,0,Matches
20,Felix Afena-Gyan,gh GHA,FWMF,Roma,it Serie A,19-112,2003,7.4,1.08,0.54,0.14,0.81,0.14,0.54,1.22,44.4,0.68,30,7.43,24.8,3.65,12.4,13.9,0.68,0,0,0.68,0.68,1.76,0,0,Matches
21,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,26-001,1996,17.2,2.38,1.28,1.28,0.64,0.47,1.28,2.33,55,1.05,12.4,3.31,26.6,5.35,5.47,1.63,1.69,0.17,0,1.51,1.45,3.84,2.56,0,Matches
22,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,21-136,2000,4,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0.25,0,Matches
23,Lucien Agoume,fr FRA,MF,Brest,fr Ligue 1,20-091,2002,19.8,2.78,2.02,1.21,1.26,0.3,0.81,1.46,55.2,0.66,18.2,5.61,30.7,5.66,10.1,2.47,1.62,0.51,0,1.11,2.78,5.56,1.52,0,Matches
24,Kevin Agudelo,co COL,FWMF,Spezia,it Serie A,23-178,1998,12.2,2.79,1.8,1.07,1.31,0.41,0.66,1.39,47.1,0.74,28.4,6.48,22.8,6.07,14.9,7.46,1.97,0,0,1.97,1.07,3.85,0.25,0,Matches
25,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,26-042,1996,28.4,1.06,0.42,0.6,0.46,0,0.25,0.63,38.9,0.39,6.41,2.18,34.1,3.38,2.89,0.14,0.95,0.39,0,0.56,1.8,2.85,5.14,0.07,Matches
26,Sergio Agüero,ar ARG,FW,Barcelona,es La Liga,33-343,1988,1.7,0.59,0.59,0,0,0.59,0,0.59,0,0.59,10.6,2.35,22.2,0,4.71,5.88,0,0,0,0,0,0.59,0,0,Matches
27,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,29-015,1993,21.8,3.9,2.2,2.02,1.42,0.46,1.97,3.12,63.2,1.15,18,5.92,32.8,8.07,7.43,2.52,1.56,0.18,0,1.38,2.52,6.42,2.8,0.05,Matches
28,Álvaro Aguirre,es ESP,FW,Rayo Vallecano,es La Liga,22-097,2000,0.1,10,10,0,0,10,0,0,,0,30,10,33.3,0,0,30,0,0,0,0,0,10,0,0,Matches
29,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,20-043,2002,0.7,0,0,0,0,0,0,1.43,0,1.43,24.3,8.57,35.3,5.71,14.3,4.29,2.86,0,0,2.86,0,0,2.86,0,Matches
