Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,22-127,2000,29,0.24,0,0,1.03,1.83,0.03,1.41,1.62,1.28,0,0.07,0.03,5.48,0.52,1.59,24.6,Matches
2,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,34-225,1987,31.1,0.16,0.03,0,1.32,0.74,0,0.03,3.31,1.32,0,0,0,6.85,2.06,1.35,60.4,Matches
3,Salis Abdul Samed,gh GHA,MF,Clermont Foot,fr Ligue 1,22-046,2000,27.4,0.44,0.11,0.07,1.64,1.28,0,0.36,1.86,1.24,0,0,0,8.76,0.88,0.88,50,Matches
4,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,29-099,1993,30.9,0.29,0,0,1.46,2.1,0.03,0.78,2.65,2.27,0,0,0,8.93,0.42,0.39,52,Matches
5,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,22-029,2000,0.5,0,0,0,2,0,0,2,0,0,0,0,0,4,2,0,100,Matches
6,Dickson Abiama,ng NGA,FW,Greuther Fürth,de Bundesliga,23-189,1998,8.1,0.37,0,0,2.22,1.48,1.85,0.25,0.99,0.86,0,0,0,4.81,2.72,4.94,35.5,Matches
7,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,19-044,2003,1.1,0,0,0,1.82,0.91,0,0.91,0.91,0,0,0,0,6.36,0,1.82,0,Matches
8,Tammy Abraham,eng ENG,FW,Roma,it Serie A,24-221,1997,32.3,0.28,0,0,1.3,1.42,0.5,0.68,0.43,0.68,0,0.03,0,3.68,2.35,2.97,44.2,Matches
9,Luis Abram,pe PER,DF,Granada,es La Liga,26-073,1996,6.2,0.32,0,0,0.81,0.81,0,0,1.77,0.97,0,0,0.16,4.03,1.94,2.42,44.4,Matches
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,34-090,1988,26.2,0.04,0.04,0,0.69,0.69,0.11,0.04,1.79,0.38,0.04,0,0,10.8,2.9,1.64,63.9,Matches
11,Ragnar Ache,de GER,MFFW,Eint Frankfurt,de Bundesliga,23-287,1998,2.9,0,0,0,2.07,2.76,2.07,2.07,0,0.69,0,0,0,5.17,6.9,3.79,64.5,Matches
12,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,30-195,1991,22.1,0.32,0,0,1.58,2.04,0,4.89,1.18,1.58,0,0.05,0,8.96,1.27,1.58,44.4,Matches
13,Che Adams,sct SCO,FW,Southampton,eng Premier League,25-302,1996,22.2,0,0,0,1.4,2.12,0.32,0.5,0.45,0.41,0,0,0,5.41,2.52,4.95,33.7,Matches
14,Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,23-086,1999,14.8,0.27,0,0,1.35,1.22,0,0.2,1.55,1.08,0,0,0,10.5,1.42,0.74,65.6,Matches
15,Sargis Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,28-353,1993,3.7,0,0,0,1.62,2.43,1.08,1.62,0.81,2.16,0,0,0,7.03,1.35,3.51,27.8,Matches
16,Martin Adeline,fr FRA,MFFW,Reims,fr Ligue 1,18-160,2003,3.9,0.26,0,0,4.1,0.51,0,0.51,3.59,3.08,0,0,0,10.3,0.51,2.05,20,Matches
17,Amine Adli,fr FRA,FWMF,Leverkusen,de Bundesliga,22-001,2000,14,0.21,0,0,1.93,2.29,0.57,1.86,1.21,1.79,0,0,0,6.57,1.36,2.5,35.2,Matches
18,Yacine Adli,fr FRA,MFFW,Bordeaux,fr Ligue 1,21-286,2000,25.1,0.2,0,0,1.08,1.31,0.16,1.55,2.15,1.35,0,0,0,6.41,0.96,0.8,54.5,Matches
19,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,25-125,1997,3.2,0,0,0,3.75,0.31,0,0.31,0.63,1.25,0,0,0,8.13,1.56,2.19,41.7,Matches
20,Felix Afena-Gyan,gh GHA,FWMF,Roma,it Serie A,19-112,2003,7.4,0.68,0.14,0.14,2.03,3.51,0.54,1.08,0.68,0.54,0,0,0,6.22,1.22,2.43,33.3,Matches
21,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,26-001,1996,17.2,0.23,0,0,1.69,1.51,0.06,2.21,1.45,1.28,0,0.06,0,8.43,1.98,2.15,47.9,Matches
22,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,21-136,2000,4,0,0,0,0,0,0,0,0,0,0,0,0,3.75,0,0,,Matches
23,Lucien Agoume,fr FRA,MF,Brest,fr Ligue 1,20-091,2002,19.8,0.3,0,0,1.67,0.86,0,0.2,2.78,2.02,0,0.05,0,10.2,1.52,1.46,50.8,Matches
24,Kevin Agudelo,co COL,FWMF,Spezia,it Serie A,23-178,1998,12.2,0.16,0.08,0,3.03,2.05,0,0.82,1.07,1.8,0,0,0,7.38,1.23,1.48,45.5,Matches
25,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,26-042,1996,28.4,0.11,0.04,0,0.63,0.49,0.04,0.07,1.8,0.42,0.04,0.07,0,7.54,3.59,1.44,71.3,Matches
26,Sergio Agüero,ar ARG,FW,Barcelona,es La Liga,33-343,1988,1.7,0,0,0,0.59,1.18,0.59,2.35,0,0.59,0,0,0,1.76,2.35,1.18,66.7,Matches
27,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,29-015,1993,21.8,0.18,0,0,1.42,1.28,0.05,2.11,2.52,2.2,0,0,0.05,9.82,1.65,1.65,50,Matches
28,Álvaro Aguirre,es ESP,FW,Rayo Vallecano,es La Liga,22-097,2000,0.1,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,,Matches
29,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,20-043,2002,0.7,0,0,0,2.86,1.43,0,0,0,0,0,0,0,4.29,1.43,4.29,25,Matches
30,Anel Ahmedhodzic,ba BIH,DF,Bordeaux,fr Ligue 1,23-046,1999,13,0.38,0,0,1.31,0.62,0,0.38,2.31,1.46,0,0,0,10.3,1.62,0.54,75,Matches
