Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,TCmp,TAtt,TCmp%,TTotDist,TPrgDist,SCmp,STAtt,SCmp%,MCmp,MAtt,MCmp%,LCmp,LAtt,LCmp%,Ast,xA,A-xA,KP,Final3rd,PPA,CrsPA,Prog,Matches
1,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,22-127,2000,29,34.6,45.9,75.2,581.3,218.9,17.8,19.7,90.2,13.3,17.5,76.3,3.07,6.86,44.7,0.03,0.04,-0.01,0.55,1.59,1.14,0.24,3,Matches
2,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,34-225,1987,31.1,38.5,46.8,82.1,827.8,281.2,10.2,11.4,89.8,22.3,25,89.3,5.53,9.1,60.8,0,0.01,-0.01,0.23,2.41,0.19,0,2.67,Matches
3,Salis Abdul Samed,gh GHA,MF,Clermont Foot,fr Ligue 1,22-046,2000,27.4,55.9,61,91.7,1033.3,184.4,22.5,24.1,93.5,25.8,27.2,94.9,6.72,7.81,86,0,0.04,-0.04,0.55,2.81,0.47,0.04,2.96,Matches
4,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,29-099,1993,30.9,39.9,48.9,81.6,769.3,203.8,15.9,18,88.5,17,19.3,88.1,6.18,9.16,67.5,0.06,0.09,-0.03,0.91,3.85,0.55,0.19,3.98,Matches
5,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,22-029,2000,0.5,4,12,33.3,48,0,2,4,50,2,6,33.3,0,0,,0,0,0,0,0,0,0,0,Matches
6,Dickson Abiama,ng NGA,FW,Greuther Fürth,de Bundesliga,23-189,1998,8.1,11.1,17.2,64.7,160,40.7,6.67,9.63,69.2,3.09,4.69,65.8,0.62,1.23,50,0.12,0.14,-0.01,0.99,0.86,0.74,0,1.6,Matches
7,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,19-044,2003,1.1,7.27,9.09,80,90.9,20,3.64,5.45,66.7,3.64,3.64,100,0,0,,0,0,0,0.91,0.91,0.91,0,0.91,Matches
8,Tammy Abraham,eng ENG,FW,Roma,it Serie A,24-221,1997,32.3,14.8,20.3,72.9,226.8,52.6,8.92,11.6,76.8,3.96,5.67,69.9,1.33,1.64,81.1,0.12,0.11,0.02,1.02,1.08,0.84,0.09,1.86,Matches
9,Luis Abram,pe PER,DF,Granada,es La Liga,26-073,1996,6.2,31.3,35.5,88.2,696.8,186,6.77,7.42,91.3,18.5,20,92.7,5.81,7.74,75,0,0,0,0,1.29,0,0,1.45,Matches
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,34-090,1988,26.2,65.4,72.3,90.5,1374.2,423.4,20.5,21.9,93.4,33.7,35.8,94.2,10.4,13.3,78.2,0,0.02,-0.02,0.23,4.5,0.23,0,3.28,Matches
